2025-11-17 10:07:52 | INFO | LoginPage | Launching HP Portal
2025-11-17 16:55:43 | INFO | LoginPage | Clicking element (xpath, //button[@id='submit2']) - Attempt 3
2025-11-17 16:55:53 | WARNING | LoginPage | Clicking element (xpath, //button[@id='submit2']) failed with TimeoutException. Retrying 3/3...
2025-11-17 16:55:53 | INFO | LoginPage | Clicking element (xpath, //button[@id='submit2']) - Attempt 4
2025-11-18 13:25:28 | INFO | LoginPage | Navigating to HP Portal Login URL
2025-11-18 13:25:34 | INFO | LoginPage | Entering username into input field
2025-11-18 13:25:34 | INFO | LoginPage | Entering 'student' into (id, username) - Attempt 1
2025-11-18 13:25:34 | INFO | LoginPage | Entering password into input field
2025-11-18 13:25:34 | INFO | LoginPage | Entering 'Password123' into (id, password) - Attempt 1
2025-11-18 13:25:35 | INFO | LoginPage | Clicking Login button
2025-11-18 13:25:35 | INFO | LoginPage | Clicking element (xpath, //button[@id='submit2']) - Attempt 1
2025-11-18 13:25:45 | WARNING | LoginPage | Clicking element (xpath, //button[@id='submit2']) failed with TimeoutException. Retrying 1/3...
2025-11-18 13:25:46 | INFO | LoginPage | Clicking element (xpath, //button[@id='submit2']) - Attempt 2
2025-11-18 13:25:56 | WARNING | LoginPage | Clicking element (xpath, //button[@id='submit2']) failed with TimeoutException. Retrying 2/3...
2025-11-18 13:25:56 | INFO | LoginPage | Clicking element (xpath, //button[@id='submit2']) - Attempt 3
2025-11-18 13:26:06 | WARNING | LoginPage | Clicking element (xpath, //button[@id='submit2']) failed with TimeoutException. Retrying 3/3...
2025-11-18 13:26:06 | INFO | LoginPage | Clicking element (xpath, //button[@id='submit2']) - Attempt 4
2025-11-19 09:20:15 | INFO | LoginPage | Navigating to HP Portal Login URL
2025-11-19 09:20:19 | INFO | LoginPage | Entering username into input field
2025-11-19 09:20:19 | INFO | LoginPage | Entering 'student' into (id, username) - Attempt 1
2025-11-19 09:20:19 | INFO | LoginPage | Entering password into input field
2025-11-19 09:20:19 | INFO | LoginPage | Entering 'Password123' into (id, password) - Attempt 1
2025-11-19 09:20:19 | INFO | LoginPage | Clicking Login button
2025-11-19 09:20:19 | INFO | LoginPage | Clicking element (xpath, //button[@id='submit2']) - Attempt 1
2025-11-19 09:20:30 | WARNING | LoginPage | Clicking element (xpath, //button[@id='submit2']) failed with TimeoutException. Retrying 1/2...
2025-11-19 09:20:30 | INFO | LoginPage | Clicking element (xpath, //button[@id='submit2']) - Attempt 2
2025-11-19 09:20:40 | WARNING | LoginPage | Clicking element (xpath, //button[@id='submit2']) failed with TimeoutException. Retrying 2/2...
2025-11-19 09:20:40 | INFO | LoginPage | Clicking element (xpath, //button[@id='submit2']) - Attempt 3
2025-11-25 10:30:55 | INFO | LoginPage | Navigating to HP Portal Login URL
2025-11-25 12:53:59 | INFO | LoginPage | Navigating to HP Portal Login URL
2025-11-25 14:19:04 | INFO | LoginPage | Navigating to HP Portal Login URL
2025-11-25 14:23:10 | INFO | LoginPage | Navigating to HP Portal Login URL
2025-11-25 15:21:52 | INFO | LoginPage | Navigating to HP Portal Login URL
2025-11-25 15:24:51 | INFO | LoginPage | Navigating to HP Portal Login URL
2025-11-25 15:40:19 | INFO | LoginPage | Navigating to HP Portal Login URL
2025-11-25 16:47:49 | INFO | LoginPage | Navigating to HP Portal Login URL
2025-11-25 17:20:50 | INFO | LoginPage | Navigating to HP Portal Login URL
